2025-01-24 08:59:05 | unimol_tools/weights/weighthub.py | 17 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: /home/aiffel_guacamole/anaconda3/envs/moe/lib/python3.9/site-packages/unimol_tools/weights
2025-01-24 08:59:17 | unimol_tools/models/unimol.py | 120 | INFO | Uni-Mol Tools | Loading pretrained weights from /home/aiffel_guacamole/anaconda3/envs/moe/lib/python3.9/site-packages/unimol_tools/weights/mol_pre_all_h_220816.pt
2025-01-24 08:59:17 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:17 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:17 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:19 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:19 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:19 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:20 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:20 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:20 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:20 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:21 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:22 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:22 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:22 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:22 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:22 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:22 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:22 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:23 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:24 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:25 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:25 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:25 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:25 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
2025-01-24 08:59:25 | unimol_tools/data/conformer.py | 135 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-01-24 08:59:25 | unimol_tools/data/conformer.py | 142 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 100.00% of molecules.
2025-01-24 08:59:25 | unimol_tools/data/conformer.py | 126 | INFO | Uni-Mol Tools | Start generating conformers...
